,location,bath,price,total_sqft_float,bhk
37,2nd Phase Judicial Layout,2.0,47.25,1350.0,3.0
38,2nd Phase Judicial Layout,2.0,40.25,1150.0,3.0
39,2nd Stage Nagarbhavi,4.0,245.0,1200.0,3.0
40,2nd Stage Nagarbhavi,4.0,240.0,1200.0,3.0
41,2nd Stage Nagarbhavi,3.0,95.0,600.0,2.0
42,2nd Stage Nagarbhavi,4.0,225.0,1200.0,2.0
43,2nd Stage Nagarbhavi,4.0,125.0,600.0,2.0
44,2nd Stage Nagarbhavi,4.0,240.0,1200.0,4.0
45,2nd Stage Nagarbhavi,4.0,240.0,1200.0,4.0
46,2nd Stage Nagarbhavi,4.0,240.0,1200.0,2.0
47,2nd Stage Nagarbhavi,4.0,240.0,1200.0,2.0
48,2nd Stage Nagarbhavi,3.0,230.0,1500.0,2.0
49,2nd Stage Nagarbhavi,3.0,84.0,600.0,2.0
50,2nd Stage Nagarbhavi,4.0,233.0,1500.0,2.0
51,2nd Stage Nagarbhavi,4.0,240.0,1200.0,2.0
52,5th Phase JP Nagar,2.0,60.0,1075.0,2.0
53,5th Phase JP Nagar,3.0,52.5,1150.0,2.0
54,5th Phase JP Nagar,2.0,39.0,1070.0,2.0
55,5th Phase JP Nagar,2.0,63.0,1207.0,2.0
56,5th Phase JP Nagar,2.0,100.0,1725.0,4.0
57,5th Phase JP Nagar,2.0,60.0,1440.0,2.0
58,5th Phase JP Nagar,2.0,88.0,1400.0,4.0
59,5th Phase JP Nagar,2.0,100.0,1700.0,2.0
60,5th Phase JP Nagar,1.0,30.0,600.0,2.0
61,5th Phase JP Nagar,2.0,65.0,1390.0,2.0
62,5th Phase JP Nagar,2.0,88.0,1220.0,3.0
63,5th Phase JP Nagar,2.0,48.0,1000.0,2.0
64,5th Phase JP Nagar,2.0,75.0,1350.0,2.0
65,5th Phase JP Nagar,3.0,60.0,1240.0,2.0
66,5th Phase JP Nagar,3.0,75.0,1550.0,2.0
67,5th Phase JP Nagar,2.0,66.0,1485.0,2.0
68,5th Phase JP Nagar,2.0,57.0,1030.0,3.0
69,5th Phase JP Nagar,2.0,68.0,1200.0,3.0
70,5th Phase JP Nagar,2.0,61.8,1190.0,2.0
71,5th Phase JP Nagar,2.0,53.0,1080.0,2.0
72,5th Phase JP Nagar,2.0,54.0,1041.0,3.0
73,5th Phase JP Nagar,2.0,42.0,812.0,3.0
74,5th Phase JP Nagar,2.0,57.0,1010.0,4.0
75,5th Phase JP Nagar,2.0,60.0,1075.0,4.0
76,5th Phase JP Nagar,4.0,228.0,2400.0,2.0
77,6th Phase JP Nagar,2.0,74.0,1192.0,2.0
78,6th Phase JP Nagar,2.0,80.0,1180.0,5.0
79,6th Phase JP Nagar,3.0,100.0,1645.0,2.0
80,6th Phase JP Nagar,1.0,75.0,600.0,2.0
81,6th Phase JP Nagar,2.0,120.0,1170.0,3.0
82,6th Phase JP Nagar,3.0,200.0,2003.0,2.0
83,6th Phase JP Nagar,3.0,131.0,1810.0,2.0
84,6th Phase JP Nagar,2.0,135.0,1515.0,2.0
85,6th Phase JP Nagar,2.0,88.0,1280.0,2.0
86,7th Phase JP Nagar,2.0,72.0,1080.0,3.0
87,7th Phase JP Nagar,2.0,93.0,1270.0,5.0
88,7th Phase JP Nagar,2.0,100.0,1420.0,3.0
89,7th Phase JP Nagar,3.0,150.0,1850.0,2.0
90,7th Phase JP Nagar,2.0,94.0,1245.0,2.0
91,7th Phase JP Nagar,2.0,82.0,1175.0,3.0
92,7th Phase JP Nagar,2.0,95.0,1400.0,3.0
93,7th Phase JP Nagar,2.0,71.0,1050.0,4.0
94,7th Phase JP Nagar,2.0,46.0,1100.0,2.0
95,7th Phase JP Nagar,2.0,100.0,1450.0,2.0
96,7th Phase JP Nagar,2.0,96.0,1420.0,3.0
97,7th Phase JP Nagar,2.0,69.0,980.0,2.0
98,7th Phase JP Nagar,2.0,72.0,1180.0,2.0
99,7th Phase JP Nagar,3.0,115.0,1400.0,3.0
100,7th Phase JP Nagar,2.0,83.0,1270.0,2.0
101,7th Phase JP Nagar,4.0,150.0,3300.0,2.0
102,7th Phase JP Nagar,4.0,188.0,2503.0,2.0
103,7th Phase JP Nagar,3.0,190.0,2200.0,2.0
104,7th Phase JP Nagar,3.0,65.0,1250.0,2.0
105,7th Phase JP Nagar,3.0,140.0,1850.0,4.0
106,7th Phase JP Nagar,2.0,120.0,1575.0,3.0
107,7th Phase JP Nagar,3.0,150.0,1850.0,3.0
108,7th Phase JP Nagar,3.0,120.0,1680.0,2.0
109,7th Phase JP Nagar,2.0,82.5,1175.0,2.0
110,7th Phase JP Nagar,2.0,90.0,1215.0,2.0
111,7th Phase JP Nagar,2.0,75.0,1050.0,3.0
112,7th Phase JP Nagar,3.0,89.13,1300.0,4.0
113,7th Phase JP Nagar,2.0,73.0,1130.0,2.0
114,7th Phase JP Nagar,3.0,100.0,1450.0,2.0
115,7th Phase JP Nagar,2.0,50.0,1050.0,2.0
116,7th Phase JP Nagar,2.0,87.0,1275.0,2.0
117,7th Phase JP Nagar,3.0,70.0,1460.0,2.0
118,7th Phase JP Nagar,3.0,110.0,1650.0,3.0
119,7th Phase JP Nagar,2.0,42.0,850.0,1.0
120,7th Phase JP Nagar,3.0,117.0,1680.0,2.0
121,7th Phase JP Nagar,3.0,150.0,1850.0,2.0
122,7th Phase JP Nagar,2.0,61.33,1236.0,2.0
123,7th Phase JP Nagar,2.0,53.0,1000.0,2.0
124,7th Phase JP Nagar,3.0,125.0,1680.0,4.0
125,7th Phase JP Nagar,2.0,135.0,1675.0,2.0
126,7th Phase JP Nagar,3.0,155.0,1850.0,5.0
127,7th Phase JP Nagar,2.0,100.0,1460.0,2.0
128,7th Phase JP Nagar,3.0,110.0,1650.0,3.0
129,7th Phase JP Nagar,2.0,70.65,1000.0,2.0
130,7th Phase JP Nagar,2.0,75.0,1080.0,3.0
131,7th Phase JP Nagar,3.0,125.0,1680.0,3.0
132,7th Phase JP Nagar,2.0,97.0,1460.0,2.0
133,7th Phase JP Nagar,2.0,65.0,1120.0,2.0
134,7th Phase JP Nagar,3.0,60.0,1100.0,2.0
135,7th Phase JP Nagar,3.0,120.0,1790.0,2.0
136,7th Phase JP Nagar,3.0,117.0,1680.0,3.0
137,7th Phase JP Nagar,2.0,77.0,1050.0,3.0
138,7th Phase JP Nagar,2.0,75.0,1050.0,3.0
139,7th Phase JP Nagar,2.0,75.0,1040.0,3.0
140,7th Phase JP Nagar,2.0,95.0,1400.0,2.0
141,7th Phase JP Nagar,3.0,130.0,1800.0,1.0
142,7th Phase JP Nagar,2.0,68.0,1050.0,2.0
143,7th Phase JP Nagar,3.0,125.0,1680.0,4.0
144,7th Phase JP Nagar,2.0,86.0,980.0,2.0
145,7th Phase JP Nagar,2.0,77.47,1050.0,3.0
146,7th Phase JP Nagar,2.0,80.0,1270.0,2.0
147,7th Phase JP Nagar,2.0,61.45,1463.0,2.0
148,7th Phase JP Nagar,3.0,122.0,1680.0,3.0
149,7th Phase JP Nagar,2.0,85.0,1130.0,2.0
150,7th Phase JP Nagar,3.0,130.0,1680.0,2.0
151,7th Phase JP Nagar,4.0,260.0,2980.0,4.0
152,7th Phase JP Nagar,2.0,77.44,980.0,2.0
153,7th Phase JP Nagar,3.0,112.0,1680.0,3.0
154,7th Phase JP Nagar,3.0,150.0,2095.0,2.0
155,7th Phase JP Nagar,3.0,145.0,1976.0,2.0
156,7th Phase JP Nagar,2.0,110.0,1600.0,2.0
157,7th Phase JP Nagar,3.0,118.0,1765.0,2.0
158,7th Phase JP Nagar,2.0,88.0,1275.0,3.0
159,7th Phase JP Nagar,2.0,102.0,1450.0,2.0
160,7th Phase JP Nagar,2.0,110.0,1575.0,2.0
161,7th Phase JP Nagar,2.0,57.0,1075.0,2.0
162,7th Phase JP Nagar,1.0,47.0,750.0,2.0
163,7th Phase JP Nagar,2.0,50.0,990.0,2.0
164,7th Phase JP Nagar,2.0,92.0,1680.0,2.0
165,7th Phase JP Nagar,2.0,102.0,1430.0,3.0
166,7th Phase JP Nagar,2.0,60.0,1128.0,2.0
167,7th Phase JP Nagar,2.0,57.0,1140.0,2.0
168,7th Phase JP Nagar,2.0,108.0,1530.0,2.0
169,8th Phase JP Nagar,1.0,29.9,451.0,3.0
170,8th Phase JP Nagar,3.0,73.31,1455.0,2.0
171,8th Phase JP Nagar,2.0,55.0,871.0,3.0
172,8th Phase JP Nagar,3.0,80.0,1800.0,2.0
173,8th Phase JP Nagar,4.0,130.0,2700.0,4.0
174,8th Phase JP Nagar,2.0,34.5,1059.0,2.0
175,8th Phase JP Nagar,2.0,35.0,1080.0,2.0
176,8th Phase JP Nagar,2.0,41.5,1275.0,2.0
177,8th Phase JP Nagar,2.0,42.47,1062.0,2.0
178,8th Phase JP Nagar,1.0,31.0,500.0,4.0
179,8th Phase JP Nagar,2.0,35.0,1100.0,1.0
180,8th Phase JP Nagar,4.0,92.0,2100.0,2.0
181,8th Phase JP Nagar,3.0,72.02,1431.5,2.0
182,8th Phase JP Nagar,4.0,90.0,1900.0,2.0
183,8th Phase JP Nagar,1.0,30.0,500.0,2.0
184,8th Phase JP Nagar,3.0,110.0,1200.0,2.0
185,8th Phase JP Nagar,2.0,83.0,1504.0,4.0
186,8th Phase JP Nagar,2.0,43.55,1089.0,2.0
187,8th Phase JP Nagar,2.0,59.0,1298.0,2.0
188,8th Phase JP Nagar,2.0,95.0,1160.0,3.0
189,8th Phase JP Nagar,2.0,59.0,1245.0,3.0
190,8th Phase JP Nagar,2.0,80.0,1510.0,3.0
191,8th Phase JP Nagar,3.0,165.0,3300.0,3.0
192,8th Phase JP Nagar,2.0,51.83,1296.0,2.0
193,8th Phase JP Nagar,3.0,45.0,1275.0,2.0
194,8th Phase JP Nagar,3.0,80.0,1408.0,2.0
195,9th Phase JP Nagar,2.0,50.0,1005.0,3.0
196,9th Phase JP Nagar,2.0,65.0,1100.0,3.0
197,9th Phase JP Nagar,2.0,37.0,1080.0,2.0
198,9th Phase JP Nagar,2.0,45.0,1035.0,1.0
199,9th Phase JP Nagar,4.0,290.0,5000.0,1.0
200,9th Phase JP Nagar,2.0,56.0,1164.0,3.0
201,9th Phase JP Nagar,2.0,42.0,1005.0,2.0
202,9th Phase JP Nagar,2.0,50.0,1127.0,5.0
203,9th Phase JP Nagar,2.0,37.0,835.0,2.0
204,9th Phase JP Nagar,2.0,71.0,1466.0,4.0
205,9th Phase JP Nagar,2.0,60.0,1079.0,3.0
206,9th Phase JP Nagar,2.0,80.0,1480.0,2.0
207,9th Phase JP Nagar,2.0,80.0,1200.0,2.0
208,9th Phase JP Nagar,2.0,32.0,905.0,1.0
209,9th Phase JP Nagar,2.0,52.36,1073.0,2.0
210,9th Phase JP Nagar,2.0,88.0,1719.3,1.0
211,9th Phase JP Nagar,3.0,88.0,1780.0,4.0
212,9th Phase JP Nagar,2.0,58.0,1300.0,2.0
213,9th Phase JP Nagar,3.0,90.0,1522.0,2.0
214,9th Phase JP Nagar,4.0,80.0,1900.0,5.0
215,9th Phase JP Nagar,2.0,45.0,890.0,3.0
216,9th Phase JP Nagar,2.0,42.85,1240.0,2.0
217,9th Phase JP Nagar,2.0,35.0,1050.0,2.0
218,9th Phase JP Nagar,2.0,69.0,1331.95,2.0
219,AECS Layout,2.0,45.0,1100.0,2.0
220,AECS Layout,2.0,42.0,1028.0,2.0
221,AECS Layout,2.0,65.0,1199.0,3.0
222,AECS Layout,2.0,55.0,1080.0,4.0
223,AECS Layout,2.0,64.0,1123.0,2.0
224,AECS Layout,2.0,60.0,1308.0,4.0
225,AECS Layout,2.0,55.0,1005.0,2.0
226,AECS Layout,3.0,90.0,2000.0,3.0
227,Abbigere,2.0,40.39,985.0,2.0
228,Abbigere,2.0,32.54,795.0,4.0
229,Abbigere,2.0,45.0,1260.0,2.0
230,Abbigere,2.0,40.39,985.0,2.0
231,Abbigere,2.0,32.54,795.0,2.0
232,Abbigere,2.0,46.33,1130.0,2.0
233,Abbigere,1.0,32.6,795.0,3.0
234,Abbigere,2.0,38.92,985.0,2.0
235,Abbigere,2.0,41.0,1000.0,3.0
236,Abbigere,2.0,40.8,995.0,3.0
237,Abbigere,2.0,40.8,1020.0,2.0
238,Akshaya Nagar,2.0,54.0,1070.0,1.0
239,Akshaya Nagar,3.0,85.1,1662.0,2.0
240,Akshaya Nagar,3.0,120.0,1897.0,2.0
241,Akshaya Nagar,2.0,75.0,1410.0,3.0
242,Akshaya Nagar,2.0,85.0,1360.0,2.0
243,Akshaya Nagar,2.0,80.0,1410.0,4.0
244,Akshaya Nagar,3.0,85.0,1662.0,2.0
245,Akshaya Nagar,3.0,85.5,1662.0,2.0
246,Akshaya Nagar,2.0,75.0,1430.0,3.0
247,Akshaya Nagar,2.0,73.0,1419.0,2.0
248,Akshaya Nagar,2.0,50.0,1200.0,2.0
249,Akshaya Nagar,2.0,60.0,1092.0,3.0
250,Akshaya Nagar,3.0,85.0,1690.0,2.0
251,Akshaya Nagar,3.0,80.0,1700.0,2.0
252,Akshaya Nagar,3.0,98.0,1884.0,2.0
253,Akshaya Nagar,2.0,68.8,1314.0,1.0
254,Akshaya Nagar,3.0,85.0,1690.0,2.0
255,Akshaya Nagar,2.0,67.0,1265.0,3.0
256,Akshaya Nagar,4.0,102.0,2300.0,2.0
257,Akshaya Nagar,2.0,75.0,1420.0,3.0
258,Akshaya Nagar,2.0,88.0,1412.0,1.0
259,Akshaya Nagar,3.0,84.0,1434.0,3.0
260,Akshaya Nagar,4.0,100.0,1890.0,3.0
261,Akshaya Nagar,2.0,87.0,1419.0,2.0
262,Akshaya Nagar,3.0,85.0,1690.0,2.0
263,Akshaya Nagar,2.0,52.0,1113.0,2.0
264,Akshaya Nagar,4.0,95.0,1820.0,1.0
265,Akshaya Nagar,2.0,48.0,1100.0,2.0
266,Akshaya Nagar,3.0,102.0,1896.0,3.0
267,Akshaya Nagar,2.0,66.0,1300.0,2.0
268,Akshaya Nagar,2.0,68.0,1225.0,2.0
269,Akshaya Nagar,2.0,51.0,1179.0,2.0
270,Akshaya Nagar,2.0,73.0,1421.0,2.0
271,Akshaya Nagar,2.0,45.0,900.0,2.0
272,Ambalipura,2.0,75.0,1105.0,2.0
273,Ambalipura,3.0,110.0,1800.0,3.0
274,Ambalipura,2.0,80.0,1150.0,3.0
275,Ambalipura,2.0,66.25,1250.0,2.0
276,Ambalipura,3.0,120.0,1730.0,4.0
277,Ambalipura,2.0,66.25,1230.0,2.0
278,Ambalipura,4.0,149.0,2550.0,2.0
279,Ambalipura,3.0,102.0,1817.0,1.0
280,Ambalipura,2.0,80.0,1303.0,3.0
281,Ambalipura,2.0,112.0,1607.0,2.0
282,Ambalipura,2.0,76.0,1700.0,2.0
283,Ambalipura,2.0,58.5,1060.0,2.0
284,Ambalipura,3.0,100.0,1650.0,3.0
285,Ambalipura,2.0,112.0,1607.0,2.0
286,Ambalipura,2.0,80.0,1198.0,4.0
287,Ambedkar Nagar,4.0,130.0,1935.0,1.0
288,Ambedkar Nagar,4.0,169.0,2225.0,3.0
289,Ambedkar Nagar,4.0,139.0,1850.0,2.0
290,Ambedkar Nagar,4.0,126.0,1936.0,3.0
291,Ambedkar Nagar,4.0,125.0,2150.0,2.0
292,Ambedkar Nagar,4.0,290.0,3530.0,3.0
293,Ambedkar Nagar,3.0,120.0,1856.0,2.0
294,Ambedkar Nagar,3.0,130.0,1852.0,3.0
295,Ambedkar Nagar,4.0,255.0,3565.0,3.0
296,Ambedkar Nagar,2.0,95.0,1409.0,2.0
297,Ambedkar Nagar,4.0,120.0,1950.0,2.0
298,Ambedkar Nagar,4.0,129.0,1921.0,2.0
299,Ambedkar Nagar,4.0,121.0,1920.0,2.0
300,Ambedkar Nagar,4.0,122.0,1852.0,2.0
301,Ambedkar Nagar,4.0,120.0,1950.0,1.0
302,Ambedkar Nagar,4.0,121.0,1850.0,3.0
303,Ambedkar Nagar,2.0,94.0,1425.0,1.0
304,Ambedkar Nagar,4.0,150.0,2395.0,2.0
305,Amruthahalli,2.0,40.0,900.0,2.0
306,Amruthahalli,3.0,135.0,1900.0,2.0
307,Amruthahalli,2.0,45.0,924.0,4.0
308,Amruthahalli,2.0,60.0,900.0,2.0
309,Amruthahalli,2.0,45.0,1100.0,2.0
310,Amruthahalli,2.0,55.0,1200.0,2.0
311,Amruthahalli,3.0,77.0,1700.0,2.0
312,Amruthahalli,2.0,85.0,1450.0,2.0
313,Amruthahalli,2.0,55.0,1200.0,2.0
314,Amruthahalli,2.0,79.0,1250.0,2.0
315,Amruthahalli,2.0,65.0,1202.0,3.0
316,Amruthahalli,2.0,75.0,1340.0,4.0
317,Amruthahalli,4.0,175.0,2650.0,5.0
318,Amruthahalli,2.0,90.0,1450.0,3.0
319,Amruthahalli,2.0,42.0,1025.0,2.0
320,Amruthahalli,1.0,19.5,485.0,2.0
321,Anandapura,2.0,43.76,1167.0,2.0
322,Anandapura,2.0,55.0,1000.0,3.0
323,Anandapura,2.0,42.79,1141.0,2.0
324,Anandapura,2.0,67.0,1200.0,2.0
325,Anandapura,2.0,58.0,1200.0,4.0
326,Anandapura,2.0,43.1,1151.0,2.0
327,Anandapura,2.0,48.0,900.0,3.0
328,Anandapura,4.0,90.0,1749.0,2.0
329,Anandapura,2.0,42.9,1151.0,2.0
330,Anandapura,3.0,58.0,1576.0,2.0
331,Anandapura,2.0,57.0,875.0,2.0
332,Anandapura,2.0,58.0,1200.0,4.0
333,Anandapura,2.0,66.0,1200.0,3.0
334,Anandapura,2.0,74.0,1415.0,3.0
335,Anandapura,2.0,50.0,1141.0,2.0
336,Ananth Nagar,2.0,31.5,1100.0,2.0
337,Ananth Nagar,2.0,24.55,982.0,2.0
338,Ananth Nagar,2.0,14.0,500.0,2.0
339,Ananth Nagar,2.0,22.5,900.0,2.0
340,Ananth Nagar,2.0,36.0,870.0,4.0
341,Ananth Nagar,2.0,35.0,937.0,2.0
342,Ananth Nagar,2.0,37.0,960.0,2.0
343,Ananth Nagar,1.0,14.0,500.0,2.0
344,Ananth Nagar,2.0,29.7,1000.0,1.0
345,Ananth Nagar,2.0,25.99,850.0,2.0
346,Ananth Nagar,2.0,25.26,902.0,2.0
347,Ananth Nagar,3.0,54.0,1470.0,3.0
348,Ananth Nagar,2.0,25.5,810.0,3.0
349,Ananth Nagar,2.0,27.0,890.0,2.0
350,Ananth Nagar,3.0,42.0,1319.0,2.0
351,Ananth Nagar,2.0,25.0,1000.0,2.0
352,Ananth Nagar,2.0,25.99,930.0,2.0
353,Ananth Nagar,2.0,26.85,1074.0,2.0
354,Ananth Nagar,2.0,38.0,1010.0,2.0
355,Ananth Nagar,2.0,24.8,992.0,2.0
356,Anekal,1.0,36.0,1200.0,1.0
357,Anekal,2.0,22.0,656.0,3.0
358,Anekal,2.0,22.0,620.0,2.0
359,Anekal,1.0,16.5,600.0,2.0
360,Anekal,2.0,40.0,925.0,3.0
361,Anekal,1.0,18.0,530.0,2.0
362,Anekal,3.0,68.0,1800.0,3.0
363,Anekal,1.0,36.0,1200.0,2.0
364,Anekal,2.0,38.3,1035.0,3.0
365,Anekal,2.0,34.0,888.0,4.0
366,Anekal,2.0,36.1,1200.0,2.0
367,Anekal,2.0,45.0,967.0,5.0
368,Anekal,1.0,23.5,620.0,4.0
369,Anekal,3.0,45.0,1150.0,3.0
370,Anekal,1.0,36.0,1200.0,2.0
371,Anekal,1.0,11.5,400.0,2.0
372,Anekal,1.0,15.0,456.0,2.0
373,Anekal,1.0,36.0,1200.0,2.0
374,Anekal,4.0,95.0,2400.0,2.0
375,Anekal,1.0,12.5,420.0,2.0
376,Anekal,1.0,28.0,614.0,3.0
377,Anekal,2.0,52.0,1140.0,3.0
378,Anekal,1.0,25.0,625.0,2.0
379,Anjanapura,4.0,86.0,1850.0,4.0
380,Anjanapura,2.0,39.0,1070.0,2.0
381,Anjanapura,3.0,121.0,1500.0,5.0
382,Anjanapura,2.0,37.0,1070.0,2.0
383,Anjanapura,2.0,40.0,950.0,4.0
384,Anjanapura,2.0,45.0,1280.0,3.0
385,Anjanapura,2.0,25.0,710.0,2.0
386,Anjanapura,2.0,37.72,1347.0,4.0
387,Anjanapura,2.0,32.0,950.0,3.0
388,Anjanapura,4.0,55.0,1800.0,3.0
389,Anjanapura,3.0,87.54,1843.0,2.0
390,Anjanapura,2.0,30.13,1076.0,2.0
391,Anjanapura,2.0,30.0,950.0,3.0
392,Ardendale,3.0,100.0,1750.0,2.0
393,Ardendale,4.0,200.0,3198.0,3.0
394,Ardendale,4.0,160.0,2422.0,3.0
395,Ardendale,3.0,100.0,1750.0,2.0
396,Ardendale,4.0,205.0,3200.0,3.0
397,Ardendale,3.0,95.0,1728.0,3.0
398,Ardendale,3.0,92.0,1732.46,2.0
399,Ardendale,2.0,70.0,1224.0,3.0
400,Ardendale,3.0,105.0,1777.26,2.0
401,Ardendale,3.0,82.0,1650.0,2.0
402,Ardendale,2.0,67.0,1224.0,2.0
403,Ardendale,3.0,95.0,1723.0,3.0
404,Ardendale,3.0,89.0,1777.26,2.0
405,Ardendale,3.0,92.0,1777.26,2.0
406,Arekere,2.0,45.0,1222.0,2.0
407,Arekere,3.0,140.0,2060.0,2.0
408,Arekere,2.0,55.0,1190.0,2.0
409,Arekere,1.0,28.0,600.0,2.0
410,Arekere,3.0,108.0,2072.0,2.0
411,Arekere,2.0,55.0,1100.0,2.0
412,Arekere,2.0,125.0,1445.0,2.0
413,Arekere,2.0,50.0,900.0,4.0
414,Arekere,3.0,150.0,2060.0,3.0
415,Arekere,3.0,180.0,2400.0,3.0
416,Arekere,2.0,60.0,1240.0,2.0
417,Attibele,4.0,52.8,1600.0,2.0
418,Attibele,2.0,25.0,656.0,3.0
419,Attibele,1.0,11.0,400.0,2.0
420,Attibele,1.0,12.0,400.0,3.0
421,Attibele,1.0,14.0,400.0,2.0
422,Attibele,1.0,17.0,500.0,3.0
423,Attibele,4.0,95.0,2168.0,2.0
424,Attibele,1.0,10.25,395.0,2.0
425,Attibele,1.0,17.0,420.0,2.0
426,Attibele,2.0,40.98,1639.0,2.0
427,Attibele,1.0,12.0,418.0,2.0
428,Attibele,2.0,42.0,1200.0,2.0
429,Attibele,1.0,25.0,695.0,3.0
430,Attibele,3.0,120.0,2400.0,3.0
431,Attibele,1.0,12.5,450.0,2.0
432,Attibele,2.0,29.35,1174.0,2.0
433,Attibele,1.0,19.55,782.0,2.0
434,Attibele,1.0,13.0,460.0,2.0
435,Attibele,2.0,11.5,418.0,2.0
436,Attibele,2.0,42.0,1000.0,3.0
437,Attibele,1.0,11.5,550.0,2.0
438,Attibele,1.0,10.0,410.0,2.0
439,Attibele,3.0,65.0,1700.0,3.0
440,Attibele,2.0,25.0,656.0,3.0
441,BEML Layout,2.0,55.0,1060.0,2.0
442,BEML Layout,3.0,85.0,2000.0,1.0
443,BEML Layout,2.0,45.0,999.0,3.0
444,BEML Layout,2.0,85.0,2000.0,4.0
445,BEML Layout,3.0,85.0,2000.0,3.0
446,BEML Layout,3.0,85.0,2000.0,2.0
447,BEML Layout,2.0,65.0,1194.0,2.0
448,BTM 2nd Stage,5.0,185.0,1260.0,2.0
449,BTM 2nd Stage,2.0,52.0,950.0,2.0
450,BTM 2nd Stage,2.0,70.0,1274.0,2.0
451,BTM 2nd Stage,3.0,50.0,1250.0,2.0
452,BTM 2nd Stage,2.0,80.0,1280.0,2.0
453,BTM 2nd Stage,5.0,416.0,2990.0,2.0
454,BTM 2nd Stage,2.0,55.0,1265.0,1.0
455,BTM 2nd Stage,3.0,220.0,2200.0,3.0
456,BTM 2nd Stage,4.0,325.0,2780.0,3.0
457,BTM 2nd Stage,2.0,360.0,2400.0,1.0
458,BTM 2nd Stage,2.0,75.0,1147.0,2.0
459,BTM 2nd Stage,3.0,172.0,1750.0,3.0
460,BTM 2nd Stage,2.0,70.0,1200.0,2.0
461,BTM 2nd Stage,2.0,47.0,1100.0,2.0
462,BTM 2nd Stage,2.0,46.0,930.0,2.0
463,BTM 2nd Stage,2.0,55.0,1265.0,2.0
464,BTM 2nd Stage,3.0,345.0,2500.0,5.0
465,BTM Layout,2.0,63.0,1150.0,3.0
466,BTM Layout,2.0,81.0,1450.0,2.0
467,BTM Layout,3.0,79.0,1458.0,3.0
468,BTM Layout,2.0,51.5,935.0,2.0
469,BTM Layout,2.0,46.5,1020.0,3.0
470,BTM Layout,3.0,112.0,1600.0,3.0
471,BTM Layout,2.0,75.0,1300.0,1.0
472,BTM Layout,2.0,78.0,1540.0,3.0
473,BTM Layout,1.0,20.0,450.0,2.0
474,BTM Layout,3.0,220.0,2400.0,3.0
475,BTM Layout,2.0,56.81,1196.0,3.0
476,BTM Layout,2.0,99.0,1470.0,2.0
477,Babusapalaya,2.0,43.4,1358.0,2.0
478,Babusapalaya,2.0,66.0,1611.0,3.0
479,Babusapalaya,2.0,39.98,1167.0,2.0
480,Babusapalaya,2.0,46.0,1141.0,3.0
481,Babusapalaya,2.0,58.0,1084.0,3.0
482,Babusapalaya,2.0,57.0,1500.0,2.0
483,Babusapalaya,2.0,43.59,1453.0,2.0
484,Babusapalaya,2.0,45.0,1050.0,2.0
485,Babusapalaya,2.0,45.9,1141.0,4.0
486,Babusapalaya,3.0,53.0,1230.0,2.0
487,Babusapalaya,2.0,40.0,1105.0,2.0
488,Babusapalaya,2.0,65.0,1410.0,2.0
489,Babusapalaya,2.0,70.0,1305.0,2.0
490,Babusapalaya,2.0,55.99,1450.0,2.0
